row_id,customer_segment,order_amount_old,cost,is_return,payment_method,hour_of_day,date
0,standard,51.09,29.78,0,paypal,9,2024.12.05
1,standard,43.65,21.07,0,credit_card,19,2024.05.21
2,premium,94.39,55.24,0,credit_card,20,2024.12.06
3,platinum,232.82,172.68,0,credit_card,11,29-06-2024
4,premium,38.84,20.76,0,debit_card,10,12-01-2024
5,standard,81.2,30.51,0,debit_card,11,2024.04.29
6,standard,41.67,22.95,0,paypal,9,01-07-2024
7,standard,15.9,8.07,0,paypal,22,2024.03.04
8,premium,72.55,33.94,0,credit_card,15,15-11-2024
9,standard,52.12,30.42,1,credit_card,13,20-09-2024
10,premium,98.86,54.87,0,credit_card,18,2024.03.15
11,standard,19.53,11.69,0,paypal,14,12-06-2024
12,standard,79.39,40.68,0,debit_card,15,25-06-2024
13,standard,16.3,6.61,0,credit_card,15,05-02-2024
14,standard,24.63,14.29,0,paypal,22,2024.08.25
15,platinum,259.13,154.39,0,debit_card,20,27-09-2024
16,premium,170.94,79.37,0,credit_card,12,15-05-2024
17,standard,5.0,1.8,0,debit_card,13,2024.09.24
18,standard,64.85,21.54,0,credit_card,11,23-03-2024
19,premium,111.47,62.15,0,paypal,22,05-10-2024
20,platinum,,80.33,0,credit_card,19,22-04-2024
21,standard,5.0,1.83,0,paypal,12,2024.02.21
22,standard,9.22,5.39,0,paypal,22,17-06-2024
23,premium,112.37,67.62,0,debit_card,20,12-11-2024
24,standard,29.82,16.16,0,credit_card,9,14-09-2024
25,standard,67.9,35.55,0,credit_card,10,27-09-2024
26,platinum,237.4,162.7,0,paypal,20,27-10-2024
27,platinum,242.68,137.56,0,credit_card,12,07-03-2024
28,premium,89.58,44.29,0,credit_card,22,2024.01.22
29,standard,71.83,36.67,0,credit_card,20,2024.05.17
30,standard,25.81,8.82,0,credit_card,9,2024.02.18
31,standard,77.17,35.97,0,credit_card,11,02-01-2024
32,platinum,55.66,34.9,0,paypal,21,01-01-2024
33,premium,67.93,46.11,0,debit_card,19,24-01-2024
34,premium,150.42,70.62,0,paypal,22,2024.12.03
35,platnum,131.57,86.78,0,paypal,9,2024.09.23
36,premium,91.17,40.51,1,paypal,18,2024.03.28
37,platinum,294.53,177.14,0,paypal,10,25-07-2024
38,standard,17.68,8.96,0,paypal,15,22-07-2024
39,premium,175.62,97.9,0,credit_card,20,10-10-2024
40,standard,59.79,28.83,1,paypal,20,29-03-2024
41,premium,141.96,69.87,0,paypal,12,2024.02.16
42,premium,115.2,63.42,1,credit_card,18,07-02-2024
43,premium,109.49,59.32,0,paypal,18,2024.11.24
44,premium,93.54,53.68,1,credit_card,19,07-01-2024
45,platinum,330.29,185.92,1,credit_card,18,01-10-2024
46,premium,47.11,22.11,0,credit_card,22,2024.10.03
47,platinum,162.54,81.86,0,debit_card,15,13-05-2024
48,standard,42.5,19.33,0,credit_card,15,12-05-2024
49,standard,16.51,9.4,1,debit_card,13,02-09-2024
50,standard,35.85,19.57,0,credit_card,10,2024.08.31
51,premium,123.15,78.33,0,credit_card,22,2024.12.17
52,standard,72.03,22.84,0,paypal,21,14-08-2024
53,premium,61.89,41.74,0,credit_card,22,08-03-2024
54,standard,44.72,14.59,0,debit_card,11,2024.11.03
55,platinum,244.17,137.97,0,paypal,22,11-07-2024
56,platinum,176.1,126.47,0,credit_card,19,20-02-2024
57,standard,88.72,44.23,1,debit_card,10,13-08-2024
58,premium,81.62,36.4,0,paypal,15,18-12-2024
59,premium,85.13,38.86,0,paypal,13,2024.06.03
60,standard,31.93,13.88,0,paypal,12,25-01-2024
61,standard,62.97,24.41,0,credit_card,12,16-04-2024
62,standard,46.57,26.22,0,credit_card,10,18-10-2024
63,premium,68.72,41.44,0,debit_card,21,04-11-2024
64,standard,59.4,28.55,0,credit_card,22,13-04-2024
65,platinum,112.4,63.21,0,debit_card,15,2024.02.20
66,premium,117.78,77.7,0,credit_card,14,03-05-2024
67,standard,81.95,47.33,0,credit_card,15,25-01-2024
68,platnum,91.41,41.37,0,debit_card,19,2024.07.04
69,standard,30.18,10.33,0,debit_card,11,2024.08.14
70,platinum,241.57,165.87,0,paypal,22,09-10-2024
71,premium,,42.83,1,credit_card,22,2024.11.29
72,standard,39.96,18.98,0,credit_card,19,2024.05.02
73,platinum,177.74,116.58,0,credit_card,12,08-04-2024
74,premium,154.46,74.46,0,debit_card,15,17-08-2024
75,standard,35.11,18.31,1,credit_card,18,2024.08.26
76,standard,58.23,19.31,1,paypal,15,2024.11.19
77,premium,83.65,39.21,0,debit_card,11,15-04-2024
78,standard,68.86,40.42,0,debit_card,19,21-11-2024
79,premium,5.33,3.52,0,credit_card,13,22-12-2024
80,standard,5.0,2.69,0,credit_card,18,10-10-2024
81,standard,49.08,21.18,0,paypal,21,2024.02.13
82,platinum,70.2,51.83,0,credit_card,15,06-08-2024
83,premuim,113.4,71.21,0,credit_card,20,2024.02.14
84,premium,76.01,33.12,0,paypal,11,27-09-2024
85,platinum,,94.55,0,debit_card,9,2024.10.11
